anime_id,title,score,rank,popularity,members,favorites,episodes,type,duration,status,genres,studios
1535,Death Note,8.62,98.0,2,4326205,186643,37.0,TV,23 min per ep,Finished Airing,"Supernatural,Suspense",Madhouse
49413,Shiguang Dailiren II,8.62,102.0,1587,175050,2183,12.0,ONA,24 min per ep,Finished Airing,"Drama,Mystery,Suspense",LAN Studio
57658,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,8.61,106.0,481,532128,4176,12.0,TV,23 min per ep,Finished Airing,"Action,Supernatural",MAPPA
49818,Guimi Zhi Zhu: Xiaochou Pian,8.61,103.0,1311,215961,4545,13.0,ONA,35 min per ep,Finished Airing,"Action,Fantasy,Mystery,Suspense",B.CMAY PICTURES
34591,Natsume Yuujinchou Roku,8.61,109.0,1370,206800,1161,11.0,TV,23 min per ep,Finished Airing,"Slice of Life,Supernatural",Shuka
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.61,110.0,1190,240264,1239,1.0,Movie,2 hr 5 min,Finished Airing,Sci-Fi,Gainax
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.61,107.0,96,1511234,19096,12.0,TV,24 min per ep,Finished Airing,"Comedy,Romance",A-1 Pictures
28891,Haikyuu!! Second Season,8.61,104.0,88,1575473,16142,25.0,TV,24 min per ep,Finished Airing,Sports,Production I.G
19647,Hajime no Ippo: Rising,8.61,105.0,937,301272,1441,25.0,TV,22 min per ep,Finished Airing,Sports,"Madhouse,MAPPA"
33,Kenpuu Denki Berserk,8.61,108.0,302,773084,31948,25.0,TV,23 min per ep,Finished Airing,"Action,Adventure,Drama,Fantasy,Horror",OLM
54898,Bungou Stray Dogs 5th Season,8.6,111.0,1082,263442,3013,11.0,TV,23 min per ep,Finished Airing,"Action,Mystery",Bones
50250,Chiikawa,8.6,112.0,5296,22560,793,,TV,1 min,Currently Airing,Slice of Life,Doga Kobo
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.6,114.0,158,1135044,19280,12.0,TV,23 min per ep,Finished Airing,"Adventure,Drama,Fantasy,Ecchi",Studio Bind
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.6,113.0,470,542036,4005,1.0,Movie,1 hr 45 min,Finished Airing,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",Kinema Citrus
52701,Dungeon Meshi,8.59,115.0,422,596595,13045,24.0,TV,25 min per ep,Finished Airing,"Adventure,Comedy,Fantasy,Gourmet",Trigger
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,117.0,273,828854,11317,1.0,Movie,1 hr 30 min,Finished Airing,"Drama,Romance,Supernatural",CloverWorks
7311,Suzumiya Haruhi no Shoushitsu,8.59,118.0,377,652464,14405,1.0,Movie,2 hr 41 min,Finished Airing,"Award Winning,Mystery,Sci-Fi,Supernatural",Kyoto Animation
41084,Made in Abyss: Retsujitsu no Ougonkyou,8.59,116.0,469,544658,6941,12.0,TV,25 min per ep,Finished Airing,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",Kinema Citrus
63375,Nippon Sangoku,8.58,121.0,2415,99773,718,12.0,TV,24 min per ep,Finished Airing,Drama,Studio Kafka
3786,Shin Evangelion Movie:||,8.58,122.0,634,427887,8316,1.0,Movie,2 hr 35 min,Finished Airing,"Award Winning,Drama,Sci-Fi,Suspense",Khara
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,119.0,142,1182597,35494,39.0,TV,23 min per ep,Finished Airing,"Action,Adventure",David Production
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.58,120.0,1875,141642,236,1.0,Movie,47 min,Finished Airing,"Adventure,Mystery,Slice of Life,Supernatural",Artland
59636,Uma Musume: Cinderella Gray,8.57,127.0,2316,106417,1708,13.0,TV,23 min per ep,Finished Airing,"Drama,Sports",CygamesPictures
55823,Natsume Yuujinchou Shichi,8.57,124.0,3279,59744,542,12.0,TV,23 min per ep,Finished Airing,"Slice of Life,Supernatural",Shuka
16498,Shingeki no Kyojin,8.57,125.0,1,4388663,190398,25.0,TV,24 min per ep,Finished Airing,"Action,Award Winning,Drama,Suspense",Wit Studio
877,Nana,8.57,123.0,295,789778,35846,47.0,TV,22 min per ep,Finished Airing,"Drama,Romance",Madhouse
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.57,126.0,178,1050263,32802,1.0,Movie,1 hr 26 min,Finished Airing,"Avant Garde,Drama,Sci-Fi,Suspense","Gainax,Production I.G"
51553,Tongari Boushi no Atelier,8.56,136.0,740,373963,4681,13.0,TV,23 min per ep,Finished Airing,Fantasy,BUG FILMS
32983,Natsume Yuujinchou Go,8.56,130.0,1367,206924,914,11.0,TV,23 min per ep,Finished Airing,"Slice of Life,Supernatural",Shuka
31757,Kizumonogatari II: Nekketsu-hen,8.56,129.0,536,491923,2508,1.0,Movie,1 hr 8 min,Finished Airing,"Action,Mystery,Supernatural",Shaft
12355,Ookami Kodomo no Ame to Yuki,8.56,132.0,250,871508,11935,1.0,Movie,1 hr 57 min,Finished Airing,"Award Winning,Slice of Life,Supernatural",Studio Chizu
30484,Steins;Gate 0,8.56,135.0,208,961304,12939,23.0,TV,23 min per ep,Finished Airing,"Drama,Sci-Fi,Suspense",White Fox
10379,Natsume Yuujinchou San,8.56,131.0,1040,273310,1507,13.0,TV,24 min per ep,Finished Airing,"Slice of Life,Supernatural",Brain's Base
437,Perfect Blue,8.56,133.0,272,829633,22136,1.0,Movie,1 hr 21 min,Finished Airing,"Avant Garde,Award Winning,Drama,Horror,Suspense",Madhouse
170,Slam Dunk,8.56,134.0,833,340236,8190,101.0,TV,23 min per ep,Finished Airing,Sports,Toei Animation
40776,Haikyuu!! To the Top Part 2,8.56,128.0,218,934629,6521,12.0,TV,23 min per ep,Finished Airing,Sports,Production I.G
55255,Alien Stage,8.55,,5738,18370,891,12.0,Music,3 min per ep,Finished Airing,"Drama,Sci-Fi,Suspense",LICO
36098,Kimi no Suizou wo Tabetai,8.55,138.0,160,1128817,23490,1.0,Movie,1 hr 48 min,Finished Airing,"Drama,Romance",Studio VOLN
49701,Doupo Cangqiong: San Nian Zhi Yue,8.55,137.0,6874,11651,208,13.0,ONA,24 min per ep,Finished Airing,"Action,Adventure,Fantasy",Motion Magic
7785,Yojouhan Shinwa Taikei,8.55,139.0,529,498287,19262,11.0,TV,22 min per ep,Finished Airing,"Award Winning,Comedy,Mystery,Romance,Suspense",Madhouse
28735,Shouwa Genroku Rakugo Shinjuu,8.54,143.0,903,316182,6063,13.0,TV,26 min per ep,Finished Airing,Drama,Studio Deen
25777,Shingeki no Kyojin Season 2,8.54,142.0,13,3039394,23198,12.0,TV,24 min per ep,Finished Airing,"Action,Drama,Suspense",Wit Studio
11741,Fate/Zero 2nd Season,8.54,140.0,140,1201337,20720,12.0,TV,24 min per ep,Finished Airing,"Action,Fantasy",ufotable
578,Hotaru no Haka,8.54,141.0,303,773131,9281,1.0,Movie,1 hr 28 min,Finished Airing,Drama,Studio Ghibli
60557,Fanren Xiu Xian Zhuan 4th Season,8.53,143.0,10962,3307,58,52.0,ONA,20 min per ep,Finished Airing,"Action,Adventure,Fantasy","Original Force,Wonder Cat Animation"
52034,[Oshi no Ko],8.53,148.0,175,1062984,31713,11.0,TV,30 min per ep,Finished Airing,"Award Winning,Drama",Doga Kobo
21329,Mushishi: Hihamukage,8.53,146.0,1749,154239,214,1.0,TV Special,44 min,Finished Airing,"Adventure,Mystery,Slice of Life,Supernatural",Artland
5300,Zoku Natsume Yuujinchou,8.53,147.0,1060,267762,1505,13.0,TV,24 min per ep,Finished Airing,"Slice of Life,Supernatural",Brain's Base
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.53,145.0,64,1790906,13511,1.0,Movie,1 hr 56 min,Finished Airing,"Action,Supernatural",ufotable
62076,Super no Ura de Yani Suu Futari,8.52,155.0,1969,132816,917,,TV,Unknown,Currently Airing,Romance,Asahi Production
61903,Kaguya-sama wa Kokurasetai: Otona e no Kaidan,8.52,151.0,2242,110961,344,1.0,TV Special,52 min,Finished Airing,"Comedy,Romance",A-1 Pictures
58567,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.52,152.0,290,800928,11555,13.0,TV,23 min per ep,Finished Airing,"Action,Adventure,Fantasy",A-1 Pictures
7472,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,150.0,1567,178243,643,1.0,Movie,1 hr 35 min,Finished Airing,"Action,Comedy,Sci-Fi",Sunrise
40664,Shoujo☆Kageki Revue Starlight Movie,8.52,154.0,4956,26378,1075,1.0,Movie,2 hr,Finished Airing,Drama,Kinema Citrus
40417,Fruits Basket 2nd Season,8.52,149.0,431,588921,6505,25.0,TV,23 min per ep,Finished Airing,"Drama,Romance,Supernatural",TMS Entertainment
205,Samurai Champloo,8.52,153.0,112,1358473,41436,26.0,TV,24 min per ep,Finished Airing,"Action,Adventure,Comedy",Manglobe
61322,Dr. Stone: Science Future Part 2,8.51,157.0,1196,238538,950,12.0,TV,24 min per ep,Finished Airing,"Adventure,Comedy",TMS Entertainment
55791,[Oshi no Ko] 2nd Season,8.51,163.0,486,529154,6096,13.0,TV,25 min per ep,Finished Airing,Drama,Doga Kobo
53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.51,160.0,902,316616,3649,14.0,ONA,24 min per ep,Finished Airing,"Action,Adventure",David Production
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.51,162.0,640,424386,9826,1.0,Movie,1 hr 56 min,Finished Airing,"Award Winning,Drama,Suspense",Shaft
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.51,159.0,129,1282446,44141,39.0,TV,23 min per ep,Finished Airing,"Action,Adventure",David Production
35843,Gintama. Porori-hen,8.51,158.0,1270,223626,961,13.0,TV,23 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Bandai Namco Pictures
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,161.0,1175,243152,3326,26.0,TV,25 min per ep,Finished Airing,"Mystery,Sci-Fi",Production I.G
12365,Bakuman. 3rd Season,8.51,156.0,799,349106,2942,25.0,TV,24 min per ep,Finished Airing,"Comedy,Drama,Romance",J.C.Staff
60988,Tian Guan Cifu Short Films,8.5,169.0,6790,12016,190,,ONA,8 min,Currently Airing,"Action,Adventure,Drama,Fantasy",Red Dog Culture House
59986,Grand Blue Season 2,8.5,165.0,1371,206494,1363,12.0,TV,24 min per ep,Finished Airing,Comedy,"Zero-G,Liber"
58222,Given Movie 3: Umi e,8.5,164.0,4509,32837,194,1.0,Movie,1 hr 20 min,Finished Airing,"Boys Love,Drama",Lerche
55809,Xian Ni,8.5,170.0,6787,11944,397,180.0,ONA,25 min per ep,Currently Airing,"Action,Adventure,Fantasy",BUILD DREAM
38474,Yuru Camp△ Season 2,8.5,171.0,1114,255291,3197,13.0,TV,23 min per ep,Finished Airing,Slice of Life,C-Station
